momentum_10,momentum_20,sma_20,sma_50,price_to_sma_50,rsi_14,macd,macd_signal,atr_14,volatility_20,bb_width,volume_ratio,trend_label,date
-0.037356683885599,-0.0455936543626257,157.5925,157.71238095238095,-0.0310843126124711,31.93641618497108,-2.3480758397256807,-1.7762032943002852,5.467857142857142,0.0179420747242706,21.594778608679743,1.1926319514674415,Downtrend,2021-01-04
-0.0385778033683603,0.1525452976704056,65.887,58.7794,0.1362824390858023,56.64543524416138,2.05378097691667,2.544840059675792,2.7378571428571434,0.0266620878445026,10.515993633758171,1.055079793848306,Uptrend,2021-01-04
0.0473421079481686,0.1494960806270997,98.0065,93.0662,0.1029783100631594,65.35823170731706,3.218191705926856,3.2575072247784416,3.049285714285714,0.0264279013896803,21.19314000232086,0.903289003877114,Sideways,2021-01-04
-0.0448635519359909,0.1077050538525268,66.212,59.03280000000001,0.1324212979902695,53.05747126436782,1.969806548082332,2.4298333573571,2.6421428571428573,0.0254586331016503,9.152624932655868,0.9678153291779688,Sideways,2021-01-05
-0.0589579234625879,-0.083446655952528,156.4305,157.0808695652174,-0.0560276346163427,36.18205631958087,-2.59493890849231,-2.024896002669388,5.292142857142857,0.0184402533392418,22.439654655378035,1.193223743845768,Sideways,2021-01-05
0.0483951108019478,0.2401551663336076,99.028,93.4964,0.1283856918555153,63.30238191360517,3.37655909216231,3.281317598255216,2.9485714285714275,0.023412948318787,18.38294220767196,0.9421993605301262,Downtrend,2021-01-05
0.0108044396424711,0.1579835715089455,99.73,93.8704,0.0962987267551857,54.517133956386274,3.2555471116668717,3.276163500937547,3.017142857142857,0.0233016472654737,15.9821953567442,1.0314445821036824,Downtrend,2021-01-06
0.003018412315122,0.0567657815232944,66.52000000000001,59.5546,0.115950741000695,47.028301886792434,1.6477848669494648,2.162471361075132,2.5364285714285724,0.0258428770281984,7.882035537252129,1.1544056907469955,Uptrend,2021-01-06
-0.0456816559600287,-0.1197103010714072,155.4305,156.66375,-0.0612378421938706,37.99862448418153,-2.8873956410790527,-2.197395930351321,5.407142857142857,0.0162750433528957,21.567451012066613,0.8265758846129705,Sideways,2021-01-06
0.0150678800537074,0.0583294447036863,66.70750000000001,59.92,0.1355140186915888,46.60009510223492,1.6856332663856648,2.0671037421372382,2.526428571428572,0.025904097785352,7.700147640415054,0.976684324329794,Uptrend,2021-01-07
-0.0425058094500387,0.0890969162995594,100.1345,94.1402,0.0504545348320907,49.00245012250613,2.802953142769681,3.181521429303974,3.247857142857142,0.0252479485070772,13.642413584888004,1.2646460447810064,Downtrend,2021-01-07
-0.0274880272912155,-0.1052631578947368,154.5585,156.3268,-0.0517300936243816,29.460093896713616,-2.9902902818113546,-2.355974800643328,5.363571428571427,0.0165692161567777,20.184722831623787,0.7468543163464899,Sideways,2021-01-07
-0.0092856669098627,-0.0910363293373091,153.8105,156.05923076923077,-0.0428634098493175,31.44486692015211,-2.946685908803204,-2.474117022275303,5.138571428571429,0.0168058865602309,18.44623698610013,0.9087148425758906,Sideways,2021-01-08
-0.0165586753059756,0.0713725490196077,66.935,60.3168,0.1323545015650697,45.93163216177178,1.7168178156147604,1.997046556832743,2.574285714285715,0.0257608526193332,7.29318066487491,1.1216233946917675,Uptrend,2021-01-08
-0.0329994107248085,0.0862753751103264,100.5255,94.335,0.0437271426299888,50.81669691470053,2.38211224813206,3.021639593069592,3.162857142857143,0.0252887103999308,10.487602505619437,1.0822652285445886,Downtrend,2021-01-08
0.0126676602086439,0.0673892554194157,67.1495,60.7046,0.1193550406394244,49.200618875709125,1.6937650514425258,1.9363902557547,2.470000000000001,0.0258134777654554,6.652144569114533,0.9609309987295096,Uptrend,2021-01-11
0.0140294618699268,0.0559323802567046,100.7935,94.6302,0.0693203649574871,51.0122921185828,2.243024797938688,2.865916634043411,3.19,0.0227804922805674,9.51764035330308,0.9168256368138404,Downtrend,2021-01-11
-0.022400424150043,-0.1076764866009316,152.9205,155.7425925925926,-0.0528602513644308,31.090225563909783,-3.027318540676589,-2.58475732595556,5.222142857142856,0.0166992801169939,15.779504228086807,0.8085126311888101,Sideways,2021-01-11
-0.0193133047210299,0.062903055291257,101.091,94.926,0.0591408044160715,47.659417618872105,2.0566397609160987,2.7040612594179487,3.184999999999999,0.0225867433764926,7.532720484315376,0.7461789414955596,Downtrend,2021-01-12
-0.018431679041292,-0.0568245822642217,152.46650000000002,155.56285714285715,-0.0311954744981358,43.5459377372817,-2.8007222432477192,-2.627950309413992,5.217857142857142,0.0164051942226615,14.48782734065503,1.283268236822569,Downtrend,2021-01-12
0.1119648737650931,0.0822649572649572,67.41900000000001,61.0848,0.1608452511917857,61.42506142506143,1.8925269592683664,1.927617596457433,2.5642857142857154,0.0267455856574661,7.2594957052618625,1.1238760020328318,Uptrend,2021-01-12
-0.0540035412158174,-0.0277019512688302,100.954,95.09300000000002,0.0113257547874184,38.16183816183817,1.5385701192497834,2.470963031384316,3.260714285714285,0.0225795345355368,8.533035740429995,1.0067615185486574,Sideways,2021-01-13
0.1305285868392665,0.0706363105662581,67.661,61.4842,0.193152061830519,64.36677258284159,2.222126437373859,1.9865193646407184,2.6264285714285727,0.025933933347178,8.967477143308933,1.1739641911001857,Uptrend,2021-01-13
-0.0388726919339164,-0.0534073506891271,152.048,155.31413793103448,-0.0448390470037366,42.4500370096225,-2.779534577247915,-2.658267162980777,5.267142857142856,0.0162363771734776,14.352064073083511,0.7280395363537819,Sideways,2021-01-13
